borough,neighborhood,bin,numfloors,house_number,street_name,full_street_name,zipcode,full_address,streetview_image_usable_flag,streetview_stairs_detected,streetview_gate_detected,streetview_ramp_or_barrier_detected,streetview_amr_can_reach_door_flag,car_ai_penalty_s,car_streetview_stairs_present_R,car_streetview_gate_present_R,car_streetview_ramp_or_barrier_present_R,car_streetview_access_barrier_score_R,amr_streetview_stairs_present_R,amr_streetview_gate_present_R,amr_streetview_ramp_or_barrier_present_R,amr_streetview_access_barrier_score_R,streetview_access_barrier_score_R,amr_accessibility_probability_estimated,amr_index_estimated,amr_class_estimated_50pct,model_used
Manhattan,Midtown South-Flatiron-Union Square,1016989,6.0,29.0,31,E  31 ST,10016.0,29 E  31 ST,False,False,False,False,False,0,0,0,0,0.0,0,0,0,0.0,0.0,0.8685577210322178,86.85577210322178,1,logistic_regression_no_ai
Manhattan,Upper West Side (Central),1031371,12.0,2.0,86,W  86 ST,10024.0,2 W  86 ST,False,False,False,False,False,0,0,0,0,0.0,0,0,0,0.0,0.0,0.528899311183332,52.8899311183332,1,logistic_regression_no_ai
Manhattan,Upper West Side (Central),1030252,3.0,119.0,78,W  78 ST,10024.0,119 W  78 ST,False,False,False,False,False,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0957299220394797,9.572992203947972,0,logistic_regression_no_ai
Manhattan,Upper West Side (Central),1031323,4.0,42.0,85,W  85 ST,10024.0,42 W  85 ST,False,False,False,False,False,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1470715633349663,14.707156333496638,0,logistic_regression_no_ai
Manhattan,Midtown-Times Square,1017243,5.0,4.0,39,E  39 ST,10016.0,4 E  39 ST,False,False,False,False,False,0,0,0,0,0.0,0,0,0,0.0,0.0,0.8196348666351561,81.96348666351561,1,logistic_regression_no_ai
Manhattan,Upper West Side (Central),1031628,3.0,71.0,92,W  92 ST,10025.0,71 W  92 ST,False,False,False,False,False,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1328753396279684,13.28753396279684,0,logistic_regression_no_ai
Manhattan,Midtown-Times Square,1016007,3.0,20.0,39,W  39 ST,10018.0,20 W  39 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0,0.8096089957223244,80.96089957223244,1,logistic_regression_no_ai
Manhattan,Chelsea-Hudson Yards,1013577,5.0,314.0,36,W  36 ST,10018.0,314 W  36 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0,0.168837526004141,16.883752600414105,0,logistic_regression_no_ai
Manhattan,Midtown-Times Square,1024714,54.0,1.0,ASTOR,ASTOR PLZ,10036.0,1 ASTOR PLZ,False,False,False,False,False,0,0,0,0,0.0,0,0,0,0.0,0.0,0.9365543818104536,93.65543818104535,1,logistic_regression_no_ai
Manhattan,Hell's Kitchen,1026848,6.0,857.0,9,9 AVE,10019.0,857 9 AVE,False,False,False,False,False,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1491815904140277,14.918159041402774,0,logistic_regression_no_ai
Manhattan,Midtown South-Flatiron-Union Square,1015661,12.0,22.0,27,W  27 ST,10001.0,22 W  27 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0,0.8696113257357486,86.96113257357486,1,logistic_regression_no_ai
Manhattan,Gramercy,1017924,3.0,,,,,,False,False,False,False,False,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0847212226378246,8.472122263782463,0,logistic_regression_no_ai
Manhattan,Hell's Kitchen,1026475,5.0,644.0,10,10 AVE,10036.0,644 10 AVE,False,False,False,False,False,0,0,0,0,0.0,0,0,0,0.0,0.0,0.6274370798067337,62.74370798067337,1,logistic_regression_no_ai
Manhattan,Gramercy,1018181,4.0,384.0,3,3 AVE,10016.0,384 3 AVE,False,False,False,False,False,0,0,0,0,0.0,0,0,0,0.0,0.0,0.7126251201540221,71.26251201540221,1,logistic_regression_no_ai
Manhattan,Gramercy,1017826,6.0,132.0,17,E  17 ST,10003.0,132 E  17 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0,0.6558772480404342,65.58772480404342,1,logistic_regression_no_ai
Manhattan,Upper West Side-Lincoln Square,1028691,5.0,,,,,,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666,0.438502695640182,43.850269564018205,0,logistic_regression_no_ai
Manhattan,Chelsea-Hudson Yards,1012588,3.5,416.0,20,W  20 ST,10011.0,416 W  20 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666,0.0975365065296533,9.753650652965336,0,logistic_regression_no_ai
Manhattan,Midtown South-Flatiron-Union Square,1016091,8.0,18.0,17,E  17 ST,10003.0,18 E  17 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0,0.7930454477985864,79.30454477985865,1,logistic_regression_no_ai
Manhattan,Upper West Side (Central),1031573,4.0,10.0,90,W  90 ST,10024.0,10 W  90 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666,0.1392402357218477,13.924023572184776,0,logistic_regression_no_ai
Manhattan,Upper West Side (Central),1031522,4.0,38.0,89,W  89 ST,10024.0,38 W  89 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666,0.1244507926779397,12.445079267793972,0,logistic_regression_no_ai
Manhattan,Midtown South-Flatiron-Union Square,1015174,28.0,150.0,31,W  31 ST,10001.0,150 W  31 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0,0.9326186262001444,93.26186262001444,1,logistic_regression_no_ai
Manhattan,Gramercy,1020512,3.0,351.0,18,E  18 ST,10003.0,351 E  18 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0,0.6447029885305513,64.47029885305513,1,logistic_regression_no_ai
Manhattan,Upper West Side (Central),1031540,4.0,44.0,89,W  89 ST,10024.0,44 W  89 ST,True,True,False,False,False,20,1,0,0,0.3333333333333333,1,0,0,0.3333333333333333,0.3333333333333333,0.1408358608412257,14.083586084122574,0,logistic_regression_no_ai
Manhattan,Upper West Side-Lincoln Square,1028166,18.0,55.0,CENTRAL,CENTRAL PARK W,10023.0,55 CENTRAL PARK W,True,False,False,True,True,10,0,0,1,0.3333333333333333,0,0,1,0.3333333333333333,0.3333333333333333,0.6677205508866348,66.77205508866348,1,logistic_regression_no_ai
Manhattan,Upper West Side (Central),1028812,4.0,21.0,76,W  76 ST,10023.0,21 W  76 ST,True,True,False,False,False,20,1,0,0,0.3333333333333333,1,0,0,0.3333333333333333,0.3333333333333333,0.1592273195656538,15.922731956565386,0,logistic_regression_no_ai
